lat,lon,dk5
54.560915,7.967834,6
54.596179,7.967834,6
54.631443,7.967834,6
54.666707,7.967834,6
54.701971,7.967834,6
54.737235,7.967834,6
54.772499,7.967834,6
54.807763,7.967834,6
54.843027,7.967834,6
54.878291,7.967834,6
54.913555,7.967834,6
54.948819,7.967834,6
54.984083,7.967834,6
55.019347,7.967834,6
55.054611,7.967834,6
55.089875,7.967834,6
55.125139,7.967834,6
55.160403,7.967834,6
55.195667,7.967834,6
55.230931,7.967834,6
55.266195,7.967834,6
55.301459,7.967834,6
55.336723,7.967834,6
55.371987,7.967834,6
55.407251,7.967834,6
55.442515,7.967834,6
55.477779,7.967834,6
55.513043,7.967834,6
55.548307,7.967834,6
55.583571,7.967834,6
55.618835,7.967834,6
55.654099,7.967834,6
55.689363,7.967834,6
55.724627,7.967834,6
55.759891,7.967834,6
55.795155,7.967834,6
55.830419,7.967834,6
55.865683,7.967834,6
55.900947,7.967834,6
55.936211,7.967834,6
55.971475,7.967834,6
56.006739,7.967834,6
56.042003,7.967834,6
56.077267,7.967834,6
56.112531,7.967834,6
56.147795,7.967834,6
56.183059,7.967834,6
56.218323,7.967834,6
56.253587,7.967834,6
56.288851,7.967834,6
56.324115,7.967834,6
56.359379,7.967834,6
56.394643,7.967834,6
56.429907,7.967834,6
56.465171,7.967834,6
56.500435,7.967834,6
56.535699,7.967834,6
56.570963,7.967834,6
56.606227,7.967834,6
56.641491,7.967834,6
56.676755,7.967834,6
56.712019,7.967834,6
56.747283,7.967834,6
56.782547,7.967834,6
56.817811,7.967834,6
56.853075,7.967834,6
56.888339,7.967834,6
56.923603,7.967834,6
56.958867,7.967834,6
56.994131,7.967834,6
57.029395,7.967834,6
57.064659,7.967834,6
57.099923,7.967834,6
57.135187,7.967834,6
57.170451,7.967834,6
57.205715,7.967834,6
54.560915,8.01655837,6
54.596179,8.01655837,6
54.631443,8.01655837,6
54.666707,8.01655837,6
54.701971,8.01655837,6
54.737235,8.01655837,6
54.772499,8.01655837,6
54.807763,8.01655837,6
54.843027,8.01655837,6
54.878291,8.01655837,6
54.913555,8.01655837,6
54.948819,8.01655837,6
54.984083,8.01655837,6
55.019347,8.01655837,6
55.054611,8.01655837,6
55.089875,8.01655837,6
55.125139,8.01655837,6
55.160403,8.01655837,6
55.195667,8.01655837,6
55.230931,8.01655837,6
55.266195,8.01655837,6
55.301459,8.01655837,6
55.336723,8.01655837,6
55.371987,8.01655837,6
55.407251,8.01655837,6
55.442515,8.01655837,6
55.477779,8.01655837,6
55.513043,8.01655837,6
55.548307,8.01655837,6
55.583571,8.01655837,6
55.618835,8.01655837,6
55.654099,8.01655837,6
55.689363,8.01655837,6
55.724627,8.01655837,6
55.759891,8.01655837,6
55.795155,8.01655837,6
55.830419,8.01655837,6
55.865683,8.01655837,6
55.900947,8.01655837,6
55.936211,8.01655837,6
55.971475,8.01655837,6
56.006739,8.01655837,6
56.042003,8.01655837,6
56.077267,8.01655837,6
56.112531,8.01655837,6
56.147795,8.01655837,6
56.183059,8.01655837,6
56.218323,8.01655837,6
56.253587,8.01655837,6
56.288851,8.01655837,6
56.324115,8.01655837,6
56.359379,8.01655837,6
56.394643,8.01655837,6
56.429907,8.01655837,6
56.465171,8.01655837,6
56.500435,8.01655837,6
56.535699,8.01655837,6
56.570963,8.01655837,6
56.606227,8.01655837,6
56.641491,8.01655837,6
56.676755,8.01655837,6
56.712019,8.01655837,6
56.747283,8.01655837,6
56.782547,8.01655837,6
56.817811,8.01655837,6
56.853075,8.01655837,6
56.888339,8.01655837,6
56.923603,8.01655837,6
56.958867,8.01655837,6
56.994131,8.01655837,6
57.029395,8.01655837,6
57.064659,8.01655837,6
57.099923,8.01655837,6
57.135187,8.01655837,6
57.170451,8.01655837,6
57.205715,8.01655837,6
54.560915,8.06528274,6
54.596179,8.06528274,6
54.631443,8.06528274,6
54.666707,8.06528274,6
54.701971,8.06528274,6
54.737235,8.06528274,6
54.772499,8.06528274,6
54.807763,8.06528274,6
54.843027,8.06528274,6
54.878291,8.06528274,6
54.913555,8.06528274,6
54.948819,8.06528274,6
54.984083,8.06528274,6
55.019347,8.06528274,6
55.054611,8.06528274,6
55.089875,8.06528274,6
55.125139,8.06528274,6
55.160403,8.06528274,6
55.195667,8.06528274,6
55.230931,8.06528274,6
55.266195,8.06528274,6
55.301459,8.06528274,6
55.336723,8.06528274,6
55.371987,8.06528274,6
55.407251,8.06528274,6
55.442515,8.06528274,6
55.477779,8.06528274,6
55.513043,8.06528274,6
55.548307,8.06528274,6
55.583571,8.06528274,6
55.618835,8.06528274,6
55.654099,8.06528274,6
55.689363,8.06528274,6
55.724627,8.06528274,6
55.759891,8.06528274,6
55.795155,8.06528274,6
55.830419,8.06528274,6
55.865683,8.06528274,6
55.900947,8.06528274,6
55.936211,8.06528274,6
55.971475,8.06528274,6
56.006739,8.06528274,6
56.042003,8.06528274,6
56.077267,8.06528274,6
56.112531,8.06528274,6
56.147795,8.06528274,6
56.183059,8.06528274,6
56.218323,8.06528274,6
56.253587,8.06528274,6
56.288851,8.06528274,6
56.324115,8.06528274,6
56.359379,8.06528274,6
56.394643,8.06528274,6
56.429907,8.06528274,6
56.465171,8.06528274,6
56.500435,8.06528274,6
56.535699,8.06528274,6
56.570963,8.06528274,6
56.606227,8.06528274,6
56.641491,8.06528274,6
56.676755,8.06528274,6
56.712019,8.06528274,6
56.747283,8.06528274,6
56.782547,8.06528274,6
56.817811,8.06528274,6
56.853075,8.06528274,6
56.888339,8.06528274,6
56.923603,8.06528274,6
56.958867,8.06528274,6
56.994131,8.06528274,6
57.029395,8.06528274,6
57.064659,8.06528274,6
57.099923,8.06528274,6
57.135187,8.06528274,6
57.170451,8.06528274,6
57.205715,8.06528274,6
54.560915,8.11400711,6
54.596179,8.11400711,6
54.631443,8.11400711,6
54.666707,8.11400711,6
54.701971,8.11400711,6
54.737235,8.11400711,6
54.772499,8.11400711,6
54.807763,8.11400711,6
54.843027,8.11400711,6
54.878291,8.11400711,6
54.913555,8.11400711,6
54.948819,8.11400711,6
54.984083,8.11400711,6
55.019347,8.11400711,6
55.054611,8.11400711,6
55.089875,8.11400711,6
55.125139,8.11400711,6
55.160403,8.11400711,6
55.195667,8.11400711,6
55.230931,8.11400711,6
55.266195,8.11400711,6
55.301459,8.11400711,6
55.336723,8.11400711,6
55.371987,8.11400711,6
55.407251,8.11400711,6
55.442515,8.11400711,6
55.477779,8.11400711,6
55.513043,8.11400711,6
55.548307,8.11400711,6
55.583571,8.11400711,6
55.618835,8.11400711,6
55.654099,8.11400711,6
55.689363,8.11400711,6
55.724627,8.11400711,6
55.759891,8.11400711,6
55.795155,8.11400711,6
55.830419,8.11400711,6
55.865683,8.11400711,6
55.900947,8.11400711,6
55.936211,8.11400711,6
55.971475,8.11400711,6
56.006739,8.11400711,6
56.042003,8.11400711,6
56.077267,8.11400711,6
56.112531,8.11400711,6
56.147795,8.11400711,6
56.183059,8.11400711,6
56.218323,8.11400711,6
56.253587,8.11400711,6
56.288851,8.11400711,6
56.324115,8.11400711,6
56.359379,8.11400711,6
56.394643,8.11400711,6
56.429907,8.11400711,6
56.465171,8.11400711,6
56.500435,8.11400711,6
56.535699,8.11400711,6
56.570963,8.11400711,6
56.606227,8.11400711,6
56.641491,8.11400711,6
56.676755,8.11400711,6
56.712019,8.11400711,6
56.747283,8.11400711,6
